"brand","car","isSell","lowPrice","heightPrice","href","rank","type"
"奥迪(进口)","奥迪S3",true,"37.15万","37.15","//price.pcauto.com.cn/price/sg8279/","紧凑型车","三厢车,"
"奥迪(进口)","奥迪S4",true,"暂无报价","暂无报价","//price.pcauto.com.cn/price/sg9001/","中型车",""
"奥迪(进口)","奥迪S5",true,"63.58","63.58","//price.pcauto.com.cn/price/sg7610/","中型车","掀背车,硬顶跑车,软顶敞篷车,三厢车,"
"奥迪(进口)","奥迪S6",true,"92.80万","92.80","//price.pcauto.com.cn/price/sg8289/","中大型车","三厢车,"
"奥迪(进口)","奥迪S7",true,"126.10万","126.10","//price.pcauto.com.cn/price/sg8119/","中大型车","掀背车,"
"奥迪(进口)","奥迪S8",true,"198.80万","198.80","//price.pcauto.com.cn/price/sg7609/","大型车","三厢车,"
"奥迪(进口)","奥迪SQ5",true,"66.80万","66.80","//price.pcauto.com.cn/price/sg8320/","中型SUV","SUV,"
"奥迪(进口)","奥迪TT",true,"46.45","46.45","//price.pcauto.com.cn/price/sg8/","跑车","硬顶跑车,软顶敞篷车,"
"奥迪(进口)","奥迪TTS",true,"61.18","61.18","//price.pcauto.com.cn/price/sg9091/","跑车","硬顶跑车,软顶敞篷车,"
"Audi Sport","奥迪RS 4",true,"91.00万","91.00","//price.pcauto.com.cn/price/sg7899/","中型车","旅行车,"
"Audi Sport","奥迪R8",true,"199.98","199.98","//price.pcauto.com.cn/price/sg3148/","跑车","硬顶跑车,软顶敞篷车,"
"Audi Sport","奥迪RS 3",true,"52.50万","52.50","//price.pcauto.com.cn/price/sg8219/","紧凑型车","三厢车,"
"Audi Sport","奥迪RS 5",true,"暂无报价","暂无报价","//price.pcauto.com.cn/price/sg4542/","中型车","三厢车,软顶敞篷车,"
"Audi Sport","奥迪RS 6",true,"139.10万","139.10","//price.pcauto.com.cn/price/sg4396/","中大型车","旅行车,"
"Audi Sport","奥迪RS 7",true,"157.70","157.70","//price.pcauto.com.cn/price/sg8872/","中大型车","掀背车,"
"Audi Sport","奥迪TT RS",true,"78.78万","78.78","//price.pcauto.com.cn/price/sg8220/","跑车","硬顶跑车,"
"阿斯顿·马丁","DBS",true,"376.80万","376.80","//price.pcauto.com.cn/price/sg3054/","跑车","软顶敞篷车,硬顶跑车,"
"阿斯顿·马丁","Lagonda",true,"810.00万","810.00","//price.pcauto.com.cn/price/sg7719/","中大型车","三厢车,"
"阿斯顿·马丁","Rapide",true,"286.80","286.80","//price.pcauto.com.cn/price/sg4386/","跑车","掀背车,硬顶跑车,"
"阿斯顿·马丁","V12 Vantage",true,"289.80","289.80","//price.pcauto.com.cn/price/sg4215/","跑车","硬顶跑车,"
"阿斯顿·马丁","V8 Vantage",true,"186.80万","186.80","//price.pcauto.com.cn/price/sg111/","跑车","硬顶跑车,软顶敞篷车,"
"阿斯顿·马丁","Vanquish",true,"399.80","399.80","//price.pcauto.com.cn/price/sg112/","跑车","硬顶跑车,软顶敞篷车,"
"阿斯顿·马丁","DB11",true,"226.80","226.80","//price.pcauto.com.cn/price/sg13787/","跑车","硬顶跑车,软顶敞篷车,"
"阿斯顿·马丁","DB9",false,"319.9 ","319.9 ","//price.pcauto.com.cn/price/sg919/","跑车","硬顶跑车,软顶敞篷车,"
"阿斯顿·马丁","One-77",false,"4700.0万","4700.0","//price.pcauto.com.cn/price/sg4329/","跑车","硬顶跑车,"
"阿斯顿·马丁","Virage",false,"430.0 ","430.0 ","//price.pcauto.com.cn/price/sg7185/","跑车","软顶敞篷车,硬顶跑车,"
"阿斯顿·马丁","DB5",false,"暂无报价","暂无报价","//price.pcauto.com.cn/price/sg8911/","跑车","硬顶跑车,"
"阿尔法·罗密欧","Giulia",true,"31.98","31.98","//price.pcauto.com.cn/price/sg11960/","中型车","三厢车,"
"阿尔法·罗密欧","Stelvio",true,"39.98","39.98","//price.pcauto.com.cn/price/sg20774/","中型SUV","SUV,"
"阿尔法·罗密欧","ALFA 156",false,"35.0万","35.0","//price.pcauto.com.cn/price/sg905/","跑车","三厢车,硬顶跑车,"
"AC宝马","ACS 7系",true,"189.00万","189.00","//price.pcauto.com.cn/price/sg7791/","大型车","三厢车,"
"AC宝马","ACS X5",true,"168.00万","168.00","//price.pcauto.com.cn/price/sg7789/","中大型SUV","SUV,"
"AC宝马","ACS X6",true,"178.00万","178.00","//price.pcauto.com.cn/price/sg7790/","中大型SUV","SUV,"
"AC宝马","AC M5 700",false,"348.0万","348.0","//price.pcauto.com.cn/price/sg7792/","中大型车","三厢车,"
"AC宝马","AC M6 700",false,"358.0万","358.0","//price.pcauto.com.cn/price/sg7793/","中大型车","三厢车,"
"ALPINA","ALPINA B4",true,"110.00万","110.00","//price.pcauto.com.cn/price/sg20972/","中型车","硬顶跑车,"
"广汽本田","缤智",true,"12.88","12.88","//price.pcauto.com.cn/price/sg10791/","小型SUV","SUV,"
"广汽本田","锋范",true,"7.98","7.98","//price.pcauto.com.cn/price/sg3539/","紧凑型车","三厢车,"
"广汽本田","飞度",true,"7.38","7.38","//price.pcauto.com.cn/price/sg3224/","小型车","两厢车,"
"广汽本田","冠道",true,"22.00","22.00","//price.pcauto.com.cn/price/sg14252/","中型SUV","SUV,"
"广汽本田","凌派",true,"9.98","9.98","//price.pcauto.com.cn/price/sg9301/","紧凑型车","三厢车,"
"广汽本田","奥德赛",true,"22.98","22.98","//price.pcauto.com.cn/price/sg3565/","MPV","MPV,"
"广汽本田","雅阁",true,"16.98","16.98","//price.pcauto.com.cn/price/sg90/","中型车","三厢车,"
"广汽本田","雅阁锐·混动",true,"19.98","19.98","//price.pcauto.com.cn/price/sg21452/","中型车","三厢车,"
"广汽本田","歌诗图",false,"25.98 ","25.98 ","//price.pcauto.com.cn/price/sg4491/","中型车","掀背车,"
"广汽本田","思迪",false,"9.38 ","9.38 ","//price.pcauto.com.cn/price/sg2977/","小型车","三厢车,"
"东风本田","艾力绅",true,"24.98","24.98","//price.pcauto.com.cn/price/sg7989/","MPV","MPV,"
"东风本田","INSPIRE",true,"18.28","18.28","//price.pcauto.com.cn/price/sg22980/","中型车","三厢车,"
"东风本田","哥瑞",true,"7.98","7.98","//price.pcauto.com.cn/price/sg12884/","紧凑型车","三厢车,"
"东风本田","本田CR-V",true,"16.98","16.98","//price.pcauto.com.cn/price/sg631/","紧凑型SUV","SUV,"
"东风本田","本田CR-V锐·混动",true,"21.98","21.98","//price.pcauto.com.cn/price/sg21663/","紧凑型SUV","SUV,"
"东风本田","本田UR-V",true,"24.68","24.68","//price.pcauto.com.cn/price/sg20934/","中型SUV","SUV,"
"东风本田","本田XR-V",true,"12.78","12.78","//price.pcauto.com.cn/price/sg11382/","小型SUV","SUV,"
"东风本田","INSPIRE锐·混动",true,"暂无报价","暂无报价","//price.pcauto.com.cn/price/sg23724/","中型车",""
"东风本田","杰德",true,"12.99","12.99","//price.pcauto.com.cn/price/sg9322/","紧凑型车","两厢车,"
"东风本田","竞瑞",true,"8.99","8.99","//price.pcauto.com.cn/price/sg20652/","紧凑型车","两厢车,"
"东风本田","思域",true,"11.59","11.59","//price.pcauto.com.cn/price/sg1726/","紧凑型车","三厢车,"
"东风本田","思铂睿",true,"17.99","17.99","//price.pcauto.com.cn/price/sg4132/","中型车","三厢车,"
"东风本田","思铂睿锐·混动",true,"24.99","24.99","//price.pcauto.com.cn/price/sg21453/","中型车","三厢车,"
"东风本田","思域新能源",false,"26.98万","26.98","//price.pcauto.com.cn/price/sg22693/","紧凑型车","三厢车,"
"本田(进口)","飞度(进口)",true,"暂无报价","暂无报价","//price.pcauto.com.cn/price/sg8700/","小型车","两厢车,"
"本田(进口)","本田CR-Z",false,"28.88万","28.88","//price.pcauto.com.cn/price/sg4633/","跑车","硬顶跑车,"
"北京奔驰","奔驰C级",true,"31.08","31.08","//price.pcauto.com.cn/price/sg3178/","中型车","三厢车,"
"北京奔驰","奔驰E级",true,"43.58","43.58","//price.pcauto.com.cn/price/sg1603/","中大型车","三厢车,"
"北京奔驰","奔驰GLA",true,"26.98","26.98","//price.pcauto.com.cn/price/sg12181/","紧凑型SUV","SUV,"
"北京奔驰","奔驰GLC",true,"39.48","39.48","//price.pcauto.com.cn/price/sg12975/","中型SUV","SUV,"
"北京奔驰","奔驰C级新能源",false,"59.9万","59.9","//price.pcauto.com.cn/price/sg21458/","中型车","三厢车,"
"北京奔驰","奔驰GLK",false,"37.8 ","37.8 ","//price.pcauto.com.cn/price/sg7651/","中型SUV","SUV,"
"奔驰(进口)","奔驰A级(进口)",true,"21.98","21.98","//price.pcauto.com.cn/price/sg142/","紧凑型车","两厢车,"
"奔驰(进口)","奔驰B级",true,"22.58","22.58","//price.pcauto.com.cn/price/sg3604/","紧凑型车","两厢车,"
"奔驰(进口)","奔驰CLA级",true,"23.78","23.78","//price.pcauto.com.cn/price/sg7750/","紧凑型车","三厢车,"
"奔驰(进口)","奔驰CLS级",true,"64.88","64.88","//price.pcauto.com.cn/price/sg520/","中大型车","旅行车,三厢车,"
"奔驰(进口)","奔驰C级(进口)",true,"35.88","35.88","//price.pcauto.com.cn/price/sg141/","中型车","硬顶跑车,旅行车,"
"奔驰(进口)","奔驰E级(进口)",true,"45.38","45.38","//price.pcauto.com.cn/price/sg144/","中大型车","三厢车,硬顶跑车,软顶敞篷车,"
"奔驰(进口)","奔驰GLC(进口)",true,"46.38","46.38","//price.pcauto.com.cn/price/sg11532/","中型SUV","SUV,"
"奔驰(进口)","奔驰GLE",true,"73.98","73.98","//price.pcauto.com.cn/price/sg10700/","中大型SUV","SUV,"
"奔驰(进口)","奔驰GLS",true,"102.28","102.28","//price.pcauto.com.cn/price/sg13361/","大型SUV","SUV,"
"奔驰(进口)","奔驰G级",true,"122.88","122.88","//price.pcauto.com.cn/price/sg138/","中大型SUV","SUV,"
"奔驰(进口)","奔驰R级",true,"54.88","54.88","//price.pcauto.com.cn/price/sg4598/","MPV","MPV,"
"奔驰(进口)","奔驰SLC级",true,"51.88","51.88","//price.pcauto.com.cn/price/sg13580/","跑车","硬顶敞篷车,"
"奔驰(进口)","奔驰SL级",true,"101.68","101.68","//price.pcauto.com.cn/price/sg146/","跑车","硬顶敞篷车,硬顶跑车,"
"奔驰(进口)","奔驰S级",true,"86.38","86.38","//price.pcauto.com.cn/price/sg267/","大型车","三厢车,硬顶跑车,"
"奔驰(进口)","奔驰S级新能源",true,"175.80万","175.80","//price.pcauto.com.cn/price/sg21463/","大型车","三厢车,"
"奔驰(进口)","斯宾特",true,"90.88","90.88","//price.pcauto.com.cn/price/sg3106/","MPV","MPV,"
"奔驰(进口)","奔驰CL",false,"249.8万","249.8","//price.pcauto.com.cn/price/sg367/","跑车","三厢车,"
"奔驰(进口)","奔驰CLK",false,"66.1 ","66.1 ","//price.pcauto.com.cn/price/sg385/","跑车","硬顶跑车,软顶敞篷车,"
"奔驰(进口)","奔驰GL",false,"103.8 ","103.8 ","//price.pcauto.com.cn/price/sg2394/","大型SUV","SUV,"
"奔驰(进口)","奔驰M级",false,"77.8 ","77.8 ","//price.pcauto.com.cn/price/sg139/","中大型SUV","SUV,"
"奔驰(进口)","奔驰SLK",false,"58.8 ","58.8 ","//price.pcauto.com.cn/price/sg147/","跑车","硬顶敞篷车,硬顶跑车,"
"奔驰(进口)","唯雅诺(进口)",false,"65.0 ","65.0 ","//price.pcauto.com.cn/price/sg2674/","MPV","MPV,"
"福建奔驰","奔驰V级",true,"48.50","48.50","//price.pcauto.com.cn/price/sg13360/","MPV","MPV,"
"福建奔驰","凌特",true,"37.60","37.60","//price.pcauto.com.cn/price/sg7759/","轻客","客车,"
"福建奔驰","威霆",true,"29.60","29.60","//price.pcauto.com.cn/price/sg4560/","MPV","MPV,"
"福建奔驰","唯雅诺",false,"39.8 ","39.8 ","//price.pcauto.com.cn/price/sg4559/","MPV","MPV,"
"梅赛德斯-迈巴赫","迈巴赫S级",true,"139.88","139.88","//price.pcauto.com.cn/price/sg11765/","大型车","三厢车,"
"梅赛德斯-AMG","AMG GT",true,"132.18","132.18","//price.pcauto.com.cn/price/sg11221/","跑车","硬顶跑车,"
"梅赛德斯-AMG","A级AMG",true,"46.38","46.38","//price.pcauto.com.cn/price/sg9063/","紧凑型车","两厢车,"
"梅赛德斯-AMG","CLA级AMG",true,"55.88","55.88","//price.pcauto.com.cn/price/sg9184/","紧凑型车","三厢车,"
"梅赛德斯-AMG","CLS级AMG",true,"165.18","165.18","//price.pcauto.com.cn/price/sg8230/","跑车","三厢车,"
"梅赛德斯-AMG","C级AMG",true,"63.98","63.98","//price.pcauto.com.cn/price/sg4355/","中型车","三厢车,硬顶跑车,"
"梅赛德斯-AMG","E级AMG",true,"91.88","91.88","//price.pcauto.com.cn/price/sg8231/","中大型车","三厢车,"
"梅赛德斯-AMG","GLA级AMG",true,"53.88","53.88","//price.pcauto.com.cn/price/sg9758/","紧凑型SUV","SUV,"
"梅赛德斯-AMG","GLC级AMG",true,"65.18","65.18","//price.pcauto.com.cn/price/sg14058/","中型SUV","SUV,"
"梅赛德斯-AMG","GLE级AMG",true,"100.68","100.68","//price.pcauto.com.cn/price/sg12042/","中大型SUV","SUV,"
"梅赛德斯-AMG","GLS级AMG",true,"198.18万","198.18","//price.pcauto.com.cn/price/sg13958/","大型SUV","SUV,"
"梅赛德斯-AMG","G级AMG",true,"214.68","214.68","//price.pcauto.com.cn/price/sg8232/","中大型SUV","SUV,"
"梅赛德斯-AMG","S级AMG",true,"232.88","232.88","//price.pcauto.com.cn/price/sg8234/","大型车","三厢车,硬顶跑车,"
"梅赛德斯-AMG","GL级AMG",false,"198.0 ","198.0 ","//price.pcauto.com.cn/price/sg9317/","大型SUV","SUV,"
"梅赛德斯-AMG","M级AMG",false,"189.8 ","189.8 ","//price.pcauto.com.cn/price/sg8233/","中大型SUV","SUV,"
"梅赛德斯-AMG","SLK级AMG",false,"129.9万","129.9","//price.pcauto.com.cn/price/sg8236/","跑车","硬顶敞篷车,"
"梅赛德斯-AMG","SLS级AMG",false,"308.0 ","308.0 ","//price.pcauto.com.cn/price/sg8237/","跑车","硬顶跑车,"
"梅赛德斯-AMG","SL级AMG",false,"239.8 ","239.8 ","//price.pcauto.com.cn/price/sg8235/","跑车","硬顶敞篷车,"
"华晨宝马","宝马1系",true,"19.98","19.98","//price.pcauto.com.cn/price/sg20583/","紧凑型车","三厢车,"
"华晨宝马","宝马2系旅行车",true,"22.48","22.48","//price.pcauto.com.cn/price/sg13339/","紧凑型车","旅行车,"
"华晨宝马","宝马3系",true,"28.68","28.68","//price.pcauto.com.cn/price/sg424/","中型车","三厢车,"
"华晨宝马","宝马5系",true,"43.69","43.69","//price.pcauto.com.cn/price/sg441/","中大型车","三厢车,"
"华晨宝马","宝马5系新能源",true,"49.69","49.69","//price.pcauto.com.cn/price/sg21461/","中大型车","三厢车,"
"华晨宝马","宝马X1",true,"28.38","28.38","//price.pcauto.com.cn/price/sg7209/","紧凑型SUV","SUV,"
"华晨宝马","宝马X1新能源",true,"39.68万","39.68","//price.pcauto.com.cn/price/sg21443/","紧凑型SUV","SUV,"
"华晨宝马","宝马X3",true,"39.98","39.98","//price.pcauto.com.cn/price/sg11244/","中型SUV","SUV,"
"宝马(进口)","宝马1系(进口)",true,"23.78","23.78","//price.pcauto.com.cn/price/sg3214/","紧凑型车","两厢车,三厢车,软顶敞篷车,"
"宝马(进口)","宝马2系",true,"25.58","25.58","//price.pcauto.com.cn/price/sg9351/","紧凑型车","硬顶跑车,软顶敞篷车,"
"宝马(进口)","宝马2系多功能旅行车",true,"26.98","26.98","//price.pcauto.com.cn/price/sg12231/","MPV","MPV,"
"宝马(进口)","宝马3系(进口)",true,"68.40万","68.40","//price.pcauto.com.cn/price/sg161/","中型车","三厢车,旅行车,硬顶敞篷车,"
"宝马(进口)","宝马3系GT",true,"36.98","36.98","//price.pcauto.com.cn/price/sg8971/","中型车","掀背车,"
"宝马(进口)","宝马4系",true,"36.98","36.98","//price.pcauto.com.cn/price/sg8270/","中型车","掀背车,硬顶敞篷车,软顶敞篷车,硬顶跑车,"
"宝马(进口)","宝马5系(进口)",true,"42.99","42.99","//price.pcauto.com.cn/price/sg167/","中大型车","三厢车,旅行车,"
"宝马(进口)","宝马5系GT",true,"70.10","70.10","//price.pcauto.com.cn/price/sg8570/","中大型车","掀背车,"
"宝马(进口)","宝马6系",true,"87.80","87.80","//price.pcauto.com.cn/price/sg499/","中大型车","三厢车,软顶敞篷车,"
"宝马(进口)","宝马6系GT",true,"64.99","64.99","//price.pcauto.com.cn/price/sg21813/","中大型车","掀背车,"
"宝马(进口)","宝马7系",true,"82.80","82.80","//price.pcauto.com.cn/price/sg164/","大型车","三厢车,"
"宝马(进口)","宝马7系新能源",true,"106.80万","106.80","//price.pcauto.com.cn/price/sg21466/","大型车","三厢车,"
"宝马(进口)","宝马X2",true,"28.98","28.98","//price.pcauto.com.cn/price/sg10099/","紧凑型SUV","SUV,"
"宝马(进口)","宝马X3(进口)",true,"42.10","42.10","//price.pcauto.com.cn/price/sg500/","中型SUV","SUV,"
"宝马(进口)","宝马X4",true,"46.68","46.68","//price.pcauto.com.cn/price/sg8660/","中型SUV","SUV,"
"宝马(进口)","宝马X5",true,"72.99","72.99","//price.pcauto.com.cn/price/sg169/","中大型SUV","SUV,"
"宝马(进口)","宝马X5新能源",true,"89.99万","89.99","//price.pcauto.com.cn/price/sg21465/","中大型SUV","SUV,"
"宝马(进口)","宝马X6",true,"82.99","82.99","//price.pcauto.com.cn/price/sg3198/","中大型SUV","SUV,"
"宝马(进口)","宝马Z4",true,"58.30","58.30","//price.pcauto.com.cn/price/sg366/","跑车","硬顶敞篷车,"
"宝马(进口)","宝马i3",true,"34.98","34.98","//price.pcauto.com.cn/price/sg7197/","小型车","两厢车,"
"宝马(进口)","宝马i8",true,"183.80万","183.80","//price.pcauto.com.cn/price/sg7499/","跑车","硬顶跑车,"
"宝马(进口)","宝马2系运动旅行车(进口)",false,"27.99 ","27.99 ","//price.pcauto.com.cn/price/sg10550/","紧凑型车","旅行车,"
"宝马(进口)","宝马Isetta",false,"暂无报价","暂无报价","//price.pcauto.com.cn/price/sg10346/","微型车","掀背车,"
"宝马M","宝马M2",true,"59.98","59.98","//price.pcauto.com.cn/price/sg9998/","紧凑型车","硬顶跑车,"
"宝马M","宝马M3",true,"89.89","89.89","//price.pcauto.com.cn/price/sg7611/","中型车","三厢车,硬顶敞篷车,"
"宝马M","宝马M4",true,"92.70","92.70","//price.pcauto.com.cn/price/sg9646/","中型车","硬顶跑车,三厢车,硬顶敞篷车,"
"宝马M","宝马M5",true,"151.89万","151.89","//price.pcauto.com.cn/price/sg7699/","中大型车","三厢车,"
"宝马M","宝马M6",true,"183.80万","183.80","//price.pcauto.com.cn/price/sg8239/","中大型车","硬顶跑车,三厢车,"
"宝马M","宝马X5 M",true,"172.89万","172.89","//price.pcauto.com.cn/price/sg8240/","中大型SUV","SUV,"
"宝马M","宝马X6 M",true,"179.89万","179.89","//price.pcauto.com.cn/price/sg160/","中大型SUV","SUV,"
"上汽通用别克","昂科威",true,"21.99","21.99","//price.pcauto.com.cn/price/sg11081/","中型SUV","SUV,"
"上汽通用别克","昂科拉",true,"13.99","13.99","//price.pcauto.com.cn/price/sg7891/","小型SUV","SUV,"
"上汽通用别克","VELITE 5",true,"26.58","26.58","//price.pcauto.com.cn/price/sg21072/","紧凑型车","三厢车,"
"上汽通用别克","别克GL6",true,"14.19","14.19","//price.pcauto.com.cn/price/sg13838/","MPV","MPV,"
"上汽通用别克","别克GL8",true,"22.99","22.99","//price.pcauto.com.cn/price/sg106/","MPV","MPV,"
"上汽通用别克","君威新能源",true,"22.98","22.98","//price.pcauto.com.cn/price/sg21913/","中型车","三厢车,"
"上汽通用别克","君威",true,"17.58","17.58","//price.pcauto.com.cn/price/sg3543/","中型车","三厢车,"
"上汽通用别克","君越",true,"22.98","22.98","//price.pcauto.com.cn/price/sg3745/","中型车","三厢车,"
"上汽通用别克","君越新能源",true,"27.58","27.58","//price.pcauto.com.cn/price/sg21456/","中型车","三厢车,"
"上汽通用别克","凯越",true,"8.39","8.39","//price.pcauto.com.cn/price/sg3188/","紧凑型车","三厢车,两厢车,旅行车,"
"上汽通用别克","威朗",true,"13.59","13.59","//price.pcauto.com.cn/price/sg12381/","紧凑型车","三厢车,两厢车,"
"上汽通用别克","英朗",true,"10.99","10.99","//price.pcauto.com.cn/price/sg8090/","紧凑型车","三厢车,两厢车,"
"上汽通用别克","阅朗",true,"11.99","11.99","//price.pcauto.com.cn/price/sg22188/","紧凑型车","旅行车,"
"上汽通用别克","林荫大道",false,"30.89 ","30.89 ","//price.pcauto.com.cn/price/sg2514/","中大型车","三厢车,"
"上汽通用别克","荣御",false,"36.8 ","36.8 ","//price.pcauto.com.cn/price/sg871/","中大型车","三厢车,"
"别克(进口)","昂科雷",true,"50.90","50.90","//price.pcauto.com.cn/price/sg3364/","中大型SUV","SUV,"
"比亚迪","唐",true,"12.99","12.99","//price.pcauto.com.cn/price/sg22976/","中型SUV","SUV,"
"比亚迪","唐新能源",true,"23.99","23.99","//price.pcauto.com.cn/price/sg9847/","中型SUV","SUV,"
"比亚迪","宋",true,"7.98","7.98","//price.pcauto.com.cn/price/sg11890/","紧凑型SUV","SUV,"
"比亚迪","比亚迪F0",true,"3.79","3.79","//price.pcauto.com.cn/price/sg3264/","微型车","两厢车,"
"比亚迪","比亚迪F3",true,"4.39","4.39","//price.pcauto.com.cn/price/sg1044/","紧凑型车","三厢车,"
"比亚迪","比亚迪G3",true,"6.29","6.29","//price.pcauto.com.cn/price/sg3976/","紧凑型车","三厢车,"
"比亚迪","比亚迪G5",true,"7.59","7.59","//price.pcauto.com.cn/price/sg10370/","紧凑型车","三厢车,"
"比亚迪","比亚迪G6",true,"7.98","7.98","//price.pcauto.com.cn/price/sg4718/","中型车","三厢车,"
"比亚迪","比亚迪L3",true,"5.49","5.49","//price.pcauto.com.cn/price/sg4514/","紧凑型车","三厢车,"
"比亚迪","比亚迪M6",true,"10.39","10.39","//price.pcauto.com.cn/price/sg3629/","MPV","MPV,"
"比亚迪","比亚迪S6",true,"7.99","7.99","//price.pcauto.com.cn/price/sg4005/","中型SUV","SUV,"
"比亚迪","比亚迪S7",true,"9.99","9.99","//price.pcauto.com.cn/price/sg9251/","中型SUV","SUV,"
"比亚迪","比亚迪e5",true,"22.07","22.07","//price.pcauto.com.cn/price/sg14091/","紧凑型车","三厢车,"
"比亚迪","比亚迪e6",true,"30.98","30.98","//price.pcauto.com.cn/price/sg3755/","MPV","MPV,"
"比亚迪","秦",true,"18.59","18.59","//price.pcauto.com.cn/price/sg8120/","紧凑型车","三厢车,"
"比亚迪","秦Pro",true,"暂无报价","暂无报价","//price.pcauto.com.cn/price/sg23433/","紧凑型车",""
"比亚迪","秦Pro新能源",true,"暂无报价","暂无报价","//price.pcauto.com.cn/price/sg23683/","紧凑型车",""
"比亚迪","宋MAX",true,"7.99","7.99","//price.pcauto.com.cn/price/sg21633/","MPV","MPV,"
"比亚迪","宋新能源",true,"17.69","17.69","//price.pcauto.com.cn/price/sg21533/","紧凑型SUV","SUV,"
"比亚迪","速锐",true,"5.99","5.99","//price.pcauto.com.cn/price/sg8440/","紧凑型车","三厢车,"
"比亚迪","元",true,"5.99","5.99","//price.pcauto.com.cn/price/sg11891/","小型SUV","SUV,"
"比亚迪","元新能源",true,"7.99","7.99","//price.pcauto.com.cn/price/sg21423/","小型SUV","SUV,"
"比亚迪","比亚迪F3DM",false,"14.98 ","14.98 ","//price.pcauto.com.cn/price/sg5046/","紧凑型车","三厢车,"
"比亚迪","比亚迪F3R",false,"5.39 ","5.39 ","//price.pcauto.com.cn/price/sg2513/","紧凑型车","两厢车,"
"比亚迪","比亚迪F6",false,"7.98 ","7.98 ","//price.pcauto.com.cn/price/sg2874/","中型车","三厢车,"
"比亚迪","比亚迪G3R",false,"5.99 ","5.99 ","//price.pcauto.com.cn/price/sg7052/","紧凑型车","两厢车,"
"比亚迪","比亚迪S8",false,"16.58 ","16.58 ","//price.pcauto.com.cn/price/sg3285/","跑车","硬顶敞篷车,"
"比亚迪","思锐",false,"10.39 ","10.39 ","//price.pcauto.com.cn/price/sg8550/","中型车","三厢车,"
"上汽通用五菱","宝骏RS-5",true,"暂无报价","暂无报价","//price.pcauto.com.cn/price/sg23534/","紧凑型SUV",""
"上汽通用五菱","宝骏310",true,"3.68","3.68","//price.pcauto.com.cn/price/sg14101/","小型车","两厢车,"
"上汽通用五菱","宝骏310W",true,"4.28","4.28","//price.pcauto.com.cn/price/sg21614/","紧凑型车","旅行车,"
"上汽通用五菱","宝骏360",true,"5.68","5.68","//price.pcauto.com.cn/price/sg22383/","MPV","MPV,"
"上汽通用五菱","宝骏510",true,"5.48","5.48","//price.pcauto.com.cn/price/sg20563/","小型SUV","SUV,"
